Timestamp,Document Name,OCR Mode,Language,Engine Used,Fallback Used,Confidence,Processing Time (s)
2026-07-08 14:02:08,unnamed_document,auto,Auto,Surya OCR,Yes,0.00%,1.03
2026-07-08 14:02:10,unnamed_document,auto,Auto,Surya OCR,Yes,0.00%,1.49
2026-07-08 14:02:11,unnamed_document,auto,Auto,Surya OCR,Yes,0.00%,1.04
2026-07-08 14:02:12,unnamed_document,auto,Auto,Surya OCR,Yes,0.00%,0.98
2026-07-08 14:02:13,unnamed_document,auto,Auto,Surya OCR,Yes,0.00%,1.01
2026-07-08 14:02:16,unnamed_document,auto,Auto,SecureIndicHTR,Yes,0.00%,3.12
2026-07-08 14:02:19,unnamed_document,auto,Auto,SecureIndicHTR,Yes,0.00%,3.20
2026-07-08 14:02:22,unnamed_document,auto,Auto,SecureIndicHTR,Yes,0.00%,3.06
2026-07-08 14:02:26,Hindi-1.jpg,Auto,Hindi,Tesseract,Yes,94.00%,22.96
2026-07-08 14:03:27,eng greeting.png,Auto,English,Surya OCR,Yes,82.74%,3.29
2026-07-08 14:07:24,Screenshot (702).png,Printed,English,Surya OCR,Yes,97.60%,5.99
2026-07-08 14:14:36,Screenshot (703).png,Printed,Hindi,Tesseract,Yes,85.50%,7.07
2026-07-08 14:16:08,Screenshot (704).png,Printed,Telugu,Surya OCR,Yes,98.56%,4.78
2026-07-08 20:00:42,camera_capture.png,Printed,Telugu,Surya OCR,Yes,98.20%,32.35
2026-07-08 20:58:10,transcript......pdf_page_1,Printed,English,Surya OCR,Yes,91.73%,669.59
